episode,reward,steps,choosen_moves,random_moves
62,237,48,30,18
63,610,141,102,39
64,606,112,84,28
65,1041,180,143,37
66,236,43,29,14
67,605,103,76,27
68,1332,240,185,55
69,2344,372,286,86
70,602,95,67,28
71,3004,522,382,140
72,1029,205,142,63
73,3037,508,381,127
74,1032,199,149,50
75,3014,529,377,152
76,3029,467,365,102
77,1032,194,141,53
78,1043,149,108,41
79,1322,259,192,67
80,1852,386,289,97
81,1563,225,166,59
82,1150,193,143,50
83,247,47,33,14
