time,episode,reward,steps,choosen_moves,random_moves
393,392,2643,544,398,146
394,393,2579,485,371,114
395,394,1468,310,231,79
396,395,4262,802,581,221
397,396,2413,377,290,87
398,397,1452,231,171,60
399,398,5139,926,719,207
400,399,3422,748,548,200
401,400,2773,438,345,93
402,401,4401,768,579,189
403,402,3824,658,486,172
404,403,2969,551,425,126
405,404,1464,293,222,71
406,405,2039,317,228,89
407,406,1627,308,215,93
408,407,3792,3013,2224,789
409,408,3390,627,467,160
410,409,5264,3254,2441,813
411,410,2464,452,327,125
412,411,1468,246,177,69
413,412,1553,259,191,68
414,413,4891,854,635,219
415,414,2863,539,401,138
416,415,2581,465,338,127
417,416,3476,644,486,158
418,417,1446,221,164,57
419,418,2429,403,304,99
420,419,2414,424,313,111
421,420,1456,206,155,51
422,421,2180,476,343,133
423,422,1985,437,309,128
424,423,2791,480,354,126
425,424,2948,538,408,130
426,425,2209,326,252,74
427,426,1757,337,244,93
428,427,4440,633,471,162
429,428,2980,526,401,125
430,429,4544,2983,2209,774
431,430,5038,888,683,205
432,431,2264,354,271,83
433,432,2387,485,364,121
434,433,3111,512,381,131
435,434,1450,298,231,67
436,435,1940,301,233,68
437,436,4113,1860,1386,474
438,437,3735,656,484,172
439,438,1577,232,168,64
440,439,2427,480,375,105
441,440,2773,539,403,136
442,441,3547,671,478,193
443,442,2356,405,304,101
444,443,3814,2956,2221,735
445,444,4129,751,577,174
446,445,2671,501,371,130
447,446,2151,467,335,132
448,447,4092,2898,2150,748
449,448,1817,308,217,91
450,449,2446,407,298,109
451,450,1884,306,221,85
452,451,2424,484,356,128
453,452,3965,617,473,144
454,453,2718,512,376,136
455,454,3807,651,483,168
456,455,1814,252,199,53
457,456,3705,620,473,147
458,457,1685,305,219,86
459,458,2576,393,291,102
460,459,2160,405,300,105
461,460,4465,776,583,193
462,461,1530,299,215,84
463,462,3458,465,346,119
464,463,2627,460,355,105
465,464,1958,350,267,83
466,465,2482,441,323,118
467,466,3992,782,590,192
468,467,3200,636,474,162
469,468,2957,520,381,139
470,469,2390,385,283,102
471,470,2059,337,259,78
472,471,2242,414,293,121
473,472,6238,1901,1418,483
474,473,3015,476,355,121
475,474,3396,530,397,133
476,475,3637,630,480,150
477,476,2036,279,209,70
478,477,3603,659,500,159
479,478,1989,319,253,66
480,479,3576,607,461,146
481,480,2635,458,334,124
482,481,4583,901,660,241
483,482,2610,537,397,140
484,483,3332,640,481,159
485,484,2677,479,370,109
486,485,1455,259,197,62
487,486,2186,369,263,106
488,487,1964,322,238,84
489,488,4502,2934,2211,723
490,489,3678,617,481,136
491,490,3276,612,463,149
492,491,1963,339,270,69
493,492,2996,543,423,120
494,493,2678,642,477,165
495,494,1833,297,223,74
496,495,1623,269,209,60
497,496,1650,285,202,83
498,497,1987,371,286,85
499,498,2784,483,365,118
500,499,2072,293,226,67
501,500,3477,520,397,123
502,501,4791,3135,2356,779
503,502,2899,539,401,138
504,503,3228,546,413,133
505,504,5148,874,646,228
506,505,2038,364,286,78
507,506,2670,542,397,145
508,507,1688,307,239,68
509,508,1967,291,204,87
510,509,2841,519,393,126
511,510,2473,474,351,123
512,511,1628,309,231,78
513,512,2115,376,283,93
514,513,4635,3211,2413,798
515,514,4980,3068,2318,750
516,515,1437,271,194,77
517,516,3242,662,480,182
518,517,2469,440,332,108
519,518,1489,227,165,62
520,519,3766,655,492,163
521,520,2993,573,429,144
522,521,1952,367,263,104
523,522,2367,463,343,120
524,523,2866,449,338,111
525,524,2513,422,311,111
526,525,3114,539,398,141
527,526,1897,282,207,75
528,527,3061,530,381,149
529,528,3653,719,564,155
530,529,2949,532,405,127
